Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-A1_1_12125.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-B1_1_12126.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-C1_1_12127.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-D1_1_12128.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-E1_1_12129.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-F1_1_12130.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-G1_1_12131.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-H1_1_12135.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-A5_1_12136.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-B5_1_12137.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-C5_1_12138.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-D5_1_12139.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-E5_1_12140.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-F5_1_12141.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-G5_1_12142.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-H5_1_12143.d
O00311	CDC7_HUMAN	CDC7	Cell division cycle 7-related protein kinase	5	5	46073.5	45383.1	49797.5	42509.1	44904.4	45799.6	41968.4	41553.4	44656.1	42648.8	41431.7	48344.5	46044.2	46370.2	41501.7	42807.5
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	12	12	55903.7	59568.4	56800.6	55674.2	57464.4	51630.7	59103.9	58164.3	53437.8	54659	56336.8	57214.8	55084.4	59178.1	56958	56103.4
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3	3	28985.6	29701.5	29150.2	30989.8	28157.6	28935.5	32797	25172.5	28786.8	25106.7	28420.7	30980.7	31465.8	28053.7	30992.5	26201.2
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	2	2	14453	17354.2	15442.9	14641.5	16442.9	12248.8	14945.1	14882.3	14871.3	13559.5	12299.5	13087.7	13866	12393.7	12535.1	13696.2
O00410	IPO5_HUMAN	IPO5	Importin-5	39	35	102709	103380	107574	110739	106412	108142	107163	108597	113622	109044	118969	116480	112491	111628	109901	112967
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	9	9	16213.7	16378.5	16231.8	16655.7	17056.1	14942.4	14864.6	14454.1	16156	15715	16646.5	16572.1	16247.7	15163.2	14764.3	15585.7
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	22	22	32353.6	29645.8	32447.9	30613.6	30697.9	29957.7	31743.9	31537.9	33623.8	32029.6	32272.2	33923.9	32769.8	32224.3	31595.6	33856.9
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	11	11	207692	176832	191479	179487	201189	171311	180581	184120	191272	182080	204830	203139	202047	206029	199288	201878
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	24	24	292903	306050	310759	290585	304950	308195	295499	303139	296250	301577	295814	300315	301179	307064	303811	304818
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	30	30	171906	176352	172736	173312	171545	179696	165116	180346	173406	174397	172152	177839	181734	171954	174191	178841
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	9	9	42469.9	43908.5	43611.6	47798.8	45997.2	43713.2	47495.5	38989.7	41546.9	45481.9	48466.3	49115.3	46046.5	45158.4	46557.8	46773.7
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	12	12	10234	11525.3	12207.1	10298	12912.1	12327.9	9546.12	11791.2	11408.4	9658.95	11122.6	10488	12981.1	11312.7	13343	9719.12
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	4	4	19028.9	17746.5	20342.2	21621.1	18250.5	17169.1	15661.2	17239.4	16895.5	20348.4	21010.7	19673.8	22025.2	15837.4	20460.6	16625
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	13	12	20296.4	22336.2	23134	21120.5	22135.8	22102.4	22455.2	23347.1	22079	20560.3	21471.8	20587.7	23889.9	19805.4	20514.9	21016.4
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	16	16	42001.5	42719.8	42221.5	39872.7	42151.7	42242.5	41782.1	41639.9	40231.5	39374.4	37883.3	39905.8	39691.4	41610.2	40075.1	39818.6
O00468	AGRIN_HUMAN	AGRN	Agrin	2	2					110310	103050										
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	9	9	35505.8	33109.2	41583.6	35673.8	37686.8	40312.4	37029.6	43573.5	34255	40207.5	38669.2	36769.3	35691.8	40151.9	37103.9	33502.4
O00483	CXFA4_HUMAN	COXFA4	Cytochrome c oxidase subunit FA4	4	4	189132	187390	189804	180108	189452	175855	182109	184834	188787	185560	179537	175298	187470	177186	191979	174100
O00487	PSDE_HUMAN	PSMD14	Ubiquitin C-terminal hydrolase PSMD14	7	7	353372	285310	301872	342082	284160	286468	339614	275728	365137	369407	382467	393144	355189	350124	350901	368751
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3	3	37733.6	38146.4	31841.5	38080.2	41125.6	36801.7	36772.3	39768.5	38836.9	41524.3	41619.7	39226	37906.8	38498.6	36535.4	39849.6
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	6	6	122162	111718	108059	104842	104026	103959	102619	101923	87754.5	94541.8	102186	98960.1	100965	98869.4	96689.3	100239
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	5	5	14261	12231.1	12715.7	14727.3	12996.8	14274.6	9688.99	12845.9	12764.8	10761.8	10976.9	12109.1	9795.07	11020.2	14617.5	12293.2
O00541	PESC_HUMAN	PES1	Pescadillo homolog	20	20	142987	141426	140156	134718	139206	139415	142492	139973	139550	139662	137606	134799	138385	135120	132498	137424
O00559	RCAS1_HUMAN	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells	2	2	15487.5	15417.7	10139.8	14817.3	16571.5	15038.2	18167.3	15112	21777.2	18723.9	17171.5	19119.9	17649.4	21422.1	16362.7	18307.4
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3	3	44198.1	52630.2	48058.4	56928.1	54905	54671.4	51766	51544.1	53263.9	56828.4	53855	54025.8	54918.4	56750.1	55294.6	52749.1
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	17	17	74235.4	81513.1	84133.2	83591.4	87242.9	81919.8	83739	79960.3	87557.9	86141.9	91845.8	92065.6	91512.5	90745.9	91639.3	90874.5
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	25	24	145206	149320	148861	146808	150946	155478	149480	148693	146267	146582	149395	149857	150875	146138	146844	147456
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	58	23	352013	358236	347454	362412	354009	354921	368130	356766	358362	359785	368560	370543	365310	363182	363884	370294
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	6	6	24740.2	28356.5	25866.6	25985.9	26376.6	28169.4	27022.9	26446.3	24499.3	26074.7	26129.9	26080.1	25153.8	27985.4	26514	26270.5
O00625	PIR_HUMAN	PIR	Pirin	9	9	37043.9	38267.5	36001.9	39650.5	35252.4	36449.2	37163.4	38629.9	39503.8	38738.8	40210.8	40170.2	39248.7	39341.8	38121.1	40564.9
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	7	5	258186	257027	268911	276896	259483	261023	272988	255701	273675	301223	295776	296969	276559	279602	290552	284198
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	7	7	63497.4	63185.4	56022.6	61170.9	58126.6	65748.3	67370.5	57433.8	60436.1	61540.3	58344.5	60864.9	60912.8	59186.5	59152.3	62430.5
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1	1	9559.53	10216.8	7245.25	10878.1	7844.95	9853.75	11837	7814.94	13244.5	11279.2	9765.31	12668	15324.8	13587	10540.1	13521.6
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	11	11	159492	162958	160105	160977	158728	173300	159750	160283	161491	164222	154642	163331	165928	168262	163182	166105
O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase	3	3	29177.9	42996.2	41321.4	44727.6	38889	32375.8	39408.5	26120.8	29235	33793.2	46343.6	44115.4	39249.3	37754.4	40687.9	40926.8
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	9	9	18809.6	19874.1	18362.7	21113.2	18720.8	18841.5	19029.9	21197.7	11438.3	10583	10732.8	11933.7	10017.4	8596.81	9863.58	12128.8
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	1	1	7374.9	9825.96	5978.69			16940.9	11457.7									3871.03
O13539	THP2_YEAST	THP2	THO complex subunit THP2	2	2	7218.86	6873.97	6951.91	5128.45	6644.61	6918.1	5775.23	7453.73	3746.12		3604.56	3865.29	3675.23	3870.05	4211.1	4717.72
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	2	2	125449	126904	129262	125793	134325	131506	121459	138143	45984.1	47424.7	49308.6	47801.4	50885.6	48338.8	50215.4	52614
O13585	YP089_YEAST	YPR089W	Dilute domain-containing protein YPR089W	4	4	15278	13573.4	12329.6	13715.8	15612.6	15091.5	12876.8	16457.3	6428.15	6982.4	8109.01	9871.87	7799.98	8618.16	9172.68	7260.24
O14455;P05745	RL36A_YEAST;RL36B_YEAST	RPL36A;RPL36B	Large ribosomal subunit protein eL36B	8	0	1.53382e+06	1.48889e+06	1.52905e+06	1.45188e+06	1.49431e+06	1.44627e+06	1.5056e+06	1.40351e+06	688467	661856	660336	647755	661286	664506	657503	665143
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	6	6	159706	150906	148481	146528	148837	150688	154396	144566	64996	65731	60447.5	60198.5	65173.6	65447	69114.9	70232.7
O14468	YO304_YEAST	YOR304C-A	Uncharacterized protein YOR304C-A	1	1	5708.55	6450.23	5967.2	5845.44	6614.61	6058.42	5446.37	6024.48	3459.66	5034.76	3026.29		3941.15			
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	34	33	137866	136568	136599	138905	135718	141649	140004	134313	132034	136758	136463	145049	139877	143383	141981	144644
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	3	1	47616.1	47070.2	46972.3	44658.5	47395.8	35225.5	37964.9	46255	50217	48882	44991.7	46214.5	46702.2	42080.3	45376.9	44817.1
O14521	DHSD_HUMAN	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	1	1	17919.1	15576.2	15576.3	16871.7	14607.8	12426.8	17230.4	13653	19450.8	21209.1	19791.5	22221.8	18958.8	19690.9	17103.4	17431.4
O14523	C2C2L_HUMAN	C2CD2L	Phospholipid transfer protein C2CD2L	3	3	2632.32	2113.36	2832.4	2693.89	2790.79	3019.04	2949.34	2565.8	2039.62	2040.29	2720.81	3037.32	1789.29	2394.74	2793.31	3354.95
O14526	FCHO1_HUMAN	FCHO1	F-BAR domain only protein 1	8	8	28409.9	30076	26383.7	27643.3	30500.9	29661.3	29644.6	27561.1	31258.7	31184.9	29568	28894.4	35270.2	31884.2	27997.8	30490
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	11	11	122778	121379	114172	109943	118815	119085	116205	118985	113720	113053	105746	106700	110663	106768	108997	106964
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	10	10	44825	44664.1	48728.6	48167.9	47493.6	50440.1	52401.5	45998.3	44482	47551.2	47955.7	48593.2	47127.2	51928	48036.5	48196.9
O14548	CO72L_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A2-like, mitochondrial	5	5	85239	79770.6	78918.2	78492.4	78928.2	79366.6	73025.3	87637.2	69793.4	73126.3	72329.2	70791.3	75589.8	70544.6	75330.1	75858.9
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	3	3	317136	299057	307942	356673	292111	323335	360583	297884	348019	357131	385076	408490	354773	356254	340466	349766
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	8	8	103775	88783.8	95733.5	106574	94339.5	97677.9	102340	90080.1	102659	105762	111437	113529	105292	110751	106664	108579
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	22	22	138810	135074	138759	141661	139317	147287	140176	136607	134906	138171	138663	133310	125751	132501	125065	135948
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	12	12	60381	66521.9	72756.6	66200.4	71692.6	70372	69230.4	63819.2	72475.4	74513.7	84470.8	81987.9	80028.3	82466.8	79012	73844.2
O14593	RFXK_HUMAN	RFXANK	DNA-binding protein RFXANK	1	1	5919.12	7693.09	5730.08	7973.71	6001.04	6341.52	7218.64	5838.93	3771.6	3979.98	4402.77	6070.3	5502.88	5783.27	4523.96	5343.15
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	17	17	51823.6	55890.1	54867.1	57273.6	55277.8	56333.5	57257.6	53029.1	54175.3	55991.2	56143	58036.8	56613.2	55217.7	54148.1	55292.9
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	5	5	41709.3	45499.6	52980.1	49026.8	43832.2	44409.3	46842.2	48934.6	49087.4	44093.3	45443.5	43489.2	46774.6	46665.4	50881.2	45097.3
O14628	ZN195_HUMAN	ZNF195	Zinc finger protein 195	3	2	72553.8	55468	63453	70026.4	65770	59284.5	64950.8	57487.1	77837.4	75194.2	75432.7	59540.1	70293.8	71970.8	69977	67590.5
O14640;P54792	DVL1_HUMAN;DVLP1_HUMAN	DVL1;DVL1P1	Segment polarity protein dishevelled homolog DVL-1	2	0	1247.22	1556.26				1562.01	2100.62	1667.7	1083.38		1459.87	1789.82	991.646		2334.48	2141.06
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	5	4	11286.7	13617.2	12352.3	12963.9	13987.8	13774.5	13160.7	13530.8	13839.7	14470	14248.9	14206.5	15411.7	13742.5	14076.8	14112.3
O14646	CHD1_HUMAN	CHD1	ATP-dependent chromatin remodeler CHD1	46	38	196044	191837	192097	199306	196088	197237	201139	204158	203090	194238	201614	202790	199863	196451	198498	197234
O14647	CHD2_HUMAN	CHD2	ATP-dependent chromatin remodeler CHD2	4	4	12607.1	11151.2	11257	10312.6	8890.43	11684.4	10703.9	12063	11132.8	13098.5	14457.7	13333.3	8667.28	10113.6	8323.33	12701.1
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1	1	122208	90763.8	88754	85152.7	53094.3	90018.1	54626.7	79819.3	98316.6	93608.7	77678.8	87397.4	69027.5	85310.5	70699.5	70742.9
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	3	3	11353.1	12096.6	14365	11879.1	12104	11683.4	13791.9	10475.3	9650.31	8762.29	7457.43	9320.61	14562.9	11317.7	12614.8	11625.2
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	5	5	9951.99	10404.7	10738.2	10380.9	9472.71	9153.23	10588	9391.08	10435.8	10322.8	9707.22	9991.82	10443.9	9230.74	8911.03	10644.6
O14662	STX16_HUMAN	STX16	Syntaxin-16	2	2	21199.9	11596.4	9217.29	11910.3	9335.78	10210	9202.64	11000.2	10463	11976.8	9335.65	10553.4	7644.54	9778.37	10649.6	9626.61
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	5	5	71588.1	74780.3	68528.5	69321.3	80293.6	67346	76293.8	76995.2	79372.7	76637.3	81039	75593	77418.3	79177.7	75419	79280
O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	1	1	29892.2	26398.4	24666.5	23272.7	26378.7	27530.2	21448.8	19239.8	21928	20892.2	27906.2	27902.3	24726.9	23191.2	23717.5	22374.2
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	19	19	19113.3	19694.3	20836.1	19696.4	21690.1	21678.1	20401.4	20688.6	16444	17937.3	17878.1	17234.3	18581.1	17728.7	18327.6	17741
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	2	2		44886.9		30926.2	46403.4	34084		50692.9		16800.8		35645.2	36445.4		38300.3	
O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	4	4	17374	18135.6	16858.9	16026.9	16914	16970.1	19775.4	20756.6	21864.3	21649.1	19474.6	19785	18187.1	19623	18702.2	18625.2
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	4	4	28468.1	28991.7	28386	29113.5	29872.7	29965.3	28165.2	24187.5	27493.4	27833.3	29225.9	26114.3	26104.4	26457.1	29978.3	25495.5
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	2	2	17687.5	19352.1	22182.9	21391.1	24381.2	18267.3	21550.4	24810.2	21914.3	22357.9	29079.3	27199.4	20380.3	21912	21476.3	24688.9
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	11	11	523743	556618	551408	525590	537461	552605	537297	580840	555537	549173	542027	550273	548845	562151	564463	559626
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	21	21	201604	194161	191660	193809	191800	184919	204658	184412	189142	201041	200027	206426	195201	190802	192565	198052
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	22	22	140696	145990	144291	143086	147720	146540	141244	147546	140068	143259	140099	142438	138003	141814	145099	144891
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	11	11	43973.2	48028.2	43166	49880.5	44975.3	44183	45004.6	45691.6	46753.9	51757.9	52972.9	50785.4	49060	51785.7	49186	50887.1
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	1	1	12983.6	9922.56	12168.3	6199.31	15634.3	11707.5	12437.4	15606.1	12827.1	11501.6	15585.9	13754.5	16380.7	16660.3	14325.8	12924.9
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	5	5	72330.9	71771.1	70239.2	68251.9	67468.8	76995.8	70987.2	75929.8	71969.5	65787.3	65298.9	69456.8	70008.3	73252.9	70864.5	73543.1
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	47	44	187059	185777	183521	184271	180053	184527	189327	177701	183603	185145	187627	188733	187670	183673	182971	186425
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	25	25	166651	176305	168418	161083	162537	173391	159879	171684	160661	161221	155736	154863	161565	153438	154034	162911
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	9	9	27464.5	27947.1	24694.5	26541.7	28206.1	28586.1	29333.8	32050.7	37296.3	35160	36270	38161.6	31137	33002.5	33538.2	36195.9
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	39	38	53199.5	54829.7	55006.3	54047.3	53926.2	56324.9	54583.8	55667.3	52527.2	53680.1	53187.2	52798.6	54036.9	54328.1	53040.5	53389.2
O14810	CPLX1_HUMAN	CPLX1	Complexin-1	1	1					6228.37	6581.89	5724.28	5474.85	4637.62			5921.31	5273.26	7939.09		4462.41
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	17	12	1.05527e+06	1.10248e+06	1.12623e+06	1.10929e+06	1.11318e+06	1.12066e+06	1.06535e+06	1.07611e+06	1.10248e+06	1.088e+06	1.09726e+06	1.12412e+06	1.13269e+06	1.11882e+06	1.08724e+06	1.13996e+06
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	7	7	93243.7	114434	112409	105923	111351	113207	107781	121816	106990	106489	100876	99566.8	101272	99083.1	98929.8	99949
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	17	17	56871.6	62939.3	61023.3	62394.1	61249.2	66395.7	60731.9	64634.4	62843.9	66301.5	60304.2	67801.3	60753.1	64886.6	61671.2	63907.3
O14867	BACH1_HUMAN	BACH1	Transcription regulator protein BACH1	5	5	4952	4662.57	5870.59	5783.56	4873.5	5016.57	5079.9	5267.49	6071.67	4878.02	4451.86	5950.23	5487.54	5083.43	4740.31	4512.91
O14874	BCKD_HUMAN	BCKDK	Branched-chain alpha-ketoacid dehydrogenase kinase	3	3	17916.8	16799.2	15932.6	18968	19988	20831.4	17087.4	17260.8	19537.3	18555.4	17113.2	18235.1	19202.8	16903.3	18379.1	16457.8
O14880	MGST3_HUMAN	MGST3	Glutathione S-transferase 3, mitochondrial	1	1	2232.3	2952.42	2565.96	4250.63	2397.66	4048.06	3951.74	1943.52	2663.92	4224.54	6768.53	5105.99	3976.56	4665.19	5418.49	4440.65
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	2	2	17223.2	18124.4	15694	17578.2	17743.4	17079.5	22553.3	15112.8	16924.5	14502.5	18166	18113.3	18868.2	17909.3	18508.2	19369.8
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2	2	13963.9	22348.3	24292.2	21750.9	19782.4	22705.7	23912	22006.6	22237.8	22360.6	21747.5	23910.8	22518.5	18023.8	19814.2	19317
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	10	9	65670.7	74136.9	73332.8	78367	75709.9	77845.5	74610.4	83286.8	77826.5	65757.4	67427.5	67706.2	71074	71062.7	72124.6	71132.1
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	4	4	17412.1	19390.8	22246.3	20670.1	17975.8	21962.6	20835.3	19723	17291.2	18859	17832.6	19531.1	18454.2	18181.4	19570	17071.1
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	6	4	84360.6	87275.4	86140.5	80404.5	86522.3	86438.4	88721.4	89217.1	91433	98743.1	102770	96894.2	91026.3	97261.3	90799.3	98201.3
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	5	5	178494	166493	165075	153557	163692	164305	160701	162392	157519	157999	145262	151912	151939	153796	158906	152240
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	6	6	156530	155537	157361	157822	147910	152934	154946	137901	174760	164006	174540	163400	158729	160999	169748	168606
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	9	0	160363	164327	162970	167883	166931	170406	170524	158810	166782	165950	167229	167774	166812	169163	163078	163812
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	1	1	7641.72		3696.08	5416.05		2608.93	6023.74	1810.2	4925.81	4174.9	6614.33	6689.98	4160.17	3518.82	3680.57	3348.83
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	23	23	152529	146685	152761	154015	146748	149722	149476	150627	152642	154908	158880	163416	153331	159493	160574	156968
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	7	7	15750.5	16898.5	16967.4	14720.9	16549.7	15945.7	16422.1	12415.3	15048	17052.8	17082.6	17284.7	16922.5	19444.1	18267.2	17658.7
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	2	2	5960.45	8924.58	8395.47	9673.83	8518.73	9499.91	8977.37	8995.98	9985.18	8616.25	9813.05	7518.27	9630.75	7063.71	8115.39	6697.44
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	36	34	72507.3	71400.3	74872	73962.7	70823.6	74016.6	71816.4	73344.1	71380.9	71568.6	71459.3	71396.1	71909.5	71074.6	71221.6	71179.5
O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	8	8	33228.4	33515.1	26512.1	27189.3	27371.5	29094.6	32172.8	34696.3	30483.1	26393.1	31893.8	27100	30079	27739.2	24553.3	24636.4
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	25	25	47308.4	45834.2	42799.3	41480	43364.4	43138.2	45381.1	45765.8	46148.6	47689.1	48389.4	49619.4	46516.4	47849	49359.9	48606.7
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	17	14	1.61689e+06	1.54844e+06	1.48062e+06	1.51419e+06	1.47374e+06	1.5145e+06	1.54506e+06	1.46188e+06	1.62775e+06	1.6565e+06	1.56454e+06	1.61715e+06	1.52674e+06	1.55515e+06	1.54244e+06	1.55304e+06
O14980	XPO1_HUMAN	XPO1	Exportin-1	42	41	237939	229083	241791	248297	237142	240875	242915	235414	237810	239529	238839	250812	240532	248420	243042	246811
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	14	14	21008.8	21113.9	21931.7	21560.2	20077.7	22849.7	19935.8	21202.5	22236.2	22476.2	21306.3	22804	20274.4	22578.1	22741.3	21798.5
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	1	1	2502.18	2785.13	2859.33	2364.11	1178.41	2658.86	2498.12	2380.11	2623.54	2627.77	2610.59	1961.81	2079.74	3429.08	3115.43	2960.93
O15014	ZN609_HUMAN	ZNF609	Zinc finger protein 609	12	12	20381.8	19361.8	20864.8	20962	19721.8	19490.9	20666.2	20121.9	19775.7	19930.9	20739.4	20042.6	22679.5	20186.4	20656.1	19992.2
O15015	ZN646_HUMAN	ZNF646	Zinc finger protein 646	4	4	5369.62	5209.31	5402.64	4982.23	5016.78	5169.82	5397.94	4443.78	5571.69	4193.38	5272.58	3084.06	4746.42	4946.59	4529.19	4650.76
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	11	11	11043.3	12629.5	10144.1	12399.5	11129.9	10979.1	12887.1	12906.2	10754.5	11605.5	12154.4	11191.2	11686.1	11438.2	10847	13133.5
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	37	37	321252	338949	326416	324692	323636	319542	335851	330908	315104	328024	325157	328192	321423	323535	322803	327678
